year,city_id,crop_id,altitude,planted_area,harvested_area,production
2024,ILA,P1,Low,193.7,185.62,3299.511
2024,KEE,P1,Low,0.19,0.19,1.317
2024,CYQ,P1,Low,378.07,366.22,7091.299
2024,CYI,P1,Low,11.34,11.34,199.347
2024,NTO,P1,Low,177.2,166.64,3235.562
2024,KHH,C5,Low,,,
2024,YUN,C5,Low,0.9,0.9,18
2024,KIN,C5,Low,,,
2024,LIE,C5,Low,,,
2024,MLI,C5,Low,2.65,2.65,23.475
2024,HUA,C5,Low,,,
2024,TTT,C5,Low,0.93,0.93,7.084
2024,TNN,C5,Low,1.56,1.56,29.074
2024,TPE,C5,Low,,,
2024,TXG,C5,Low,0.68,0.68,8.116
2024,PEN,C5,Low,,,
2024,TYN,C5,Low,0.3,,
2024,HSQ,C5,Low,,,
2024,HSC,C5,Low,,,
2024,NTP,C5,Low,,,
2024,CHA,C5,Low,,,
2024,PIF,C5,Low,,,
2024,ILA,C5,Low,1.02,1.02,13.541
2024,KEE,C5,Low,,,
2024,CYQ,C5,Low,0.69,0.69,7.608
2024,CYI,C5,Low,,,
2024,NTO,C5,Low,,,
2024,KHH,W1,Low,119.71,119.71,1400.809
2024,YUN,W1,Low,243.88,243.88,4460.875
2024,KIN,W1,Low,,,
2024,LIE,W1,Low,,,
2024,MLI,W1,Low,0.9,0.9,8.3
2024,HUA,W1,Low,1.5,1.5,17
2024,TTT,W1,Low,23.34,23.34,137.08
2024,TNN,W1,Low,881.76,881.76,9887.539
2024,TPE,W1,Low,0.08,0.08,0.493
2024,TXG,W1,Low,10.31,10.31,138.064
2024,PEN,W1,Low,33.68,33.68,200.339
2024,TYN,W1,Low,27.11,27.11,328.456
2024,HSQ,W1,Low,29.02,29.02,264.706
2024,HSC,W1,Low,,,
2024,NTP,W1,Low,0.04,0.04,0.44
2024,CHA,W1,Low,96.44,96.44,1694.848
2024,PIF,W1,Low,78.59,78.59,697.51
2024,ILA,W1,Low,36.95,36.95,704.04
2024,KEE,W1,Low,,,
2024,CYQ,W1,Low,311.96,311.96,4101.969
2024,CYI,W1,Low,0.15,0.15,1.875
2024,NTO,W1,Low,3.81,3.81,52.815
2024,KHH,F1,Low,181.11,180.71,2106.778
2024,YUN,F1,Low,30.15,29.53,344.484
2024,KIN,F1,Low,0.17,0.17,1.685
2024,LIE,F1,Low,,,
2024,MLI,F1,Low,3.94,3.94,38.249
2024,HUA,F1,Low,47.29,33.94,275.248
2024,TTT,F1,Low,88.06,86.56,832.859
2024,TNN,F1,Low,61.16,53.39,640.451
2024,TPE,F1,Low,0.65,0.65,3.9
2024,TXG,F1,Low,51.68,50.84,680.5
2024,PEN,F1,Low,0.05,0.05,0.78
2024,TYN,F1,Low,7.9,4.03,34.874
2024,HSQ,F1,Low,5.13,5.08,63.204
2024,HSC,F1,Low,,,
2024,NTP,F1,Low,2.43,1.1,9.671
2024,CHA,F1,Low,53.1,52.52,608.268
2024,PIF,F1,Low,1700.82,1636.22,22139.742
2024,ILA,F1,Low,8.77,7.32,88.32
2024,KEE,F1,Low,,,
2024,CYQ,F1,Low,82.79,73.39,890.35
2024,CYI,F1,Low,1.9,1.9,21.168
2024,NTO,F1,Low,79.87,65.12,912.222
2024,KHH,G7,Low,5.26,4.95,45.1
2024,YUN,G7,Low,0.23,0.12,0.78
2024,KIN,G7,Low,,,
2024,LIE,G7,Low,,,
2024,MLI,G7,Low,18.87,18.87,141.553
2024,HUA,G7,Low,3.13,3.13,27.375
2024,TTT,G7,Low,35.89,32.19,181.446
2024,TNN,G7,Low,19.98,19.98,118.965
2024,TPE,G7,Low,,,
2024,TXG,G7,Low,16.02,15.71,122.195
2024,PEN,G7,Low,,,
2024,TYN,G7,Low,2.02,,
2024,HSQ,G7,Low,43.27,43.27,352.049
2024,HSC,G7,Low,,,
2024,NTP,G7,Low,,,
2024,CHA,G7,Low,2.53,0.9,6.175
2024,PIF,G7,Low,0.23,0.05,0.403
2024,ILA,G7,Low,0.07,0.07,0.441
2024,KEE,G7,Low,,,
2024,CYQ,G7,Low,6.28,6.28,55.882
2024,CYI,G7,Low,2.2,2.2,13.592
2024,NTO,G7,Low,32.66,32.66,255.14
2024,KHH,M3,Low,5.89,5.89,57.878
2024,YUN,M3,Low,10.38,10.38,121.296
2024,KIN,M3,Low,0.05,0.05,0.42
2024,LIE,M3,Low,,,
2024,MLI,M3,Low,35.21,35.21,470.845
2024,HUA,M3,Low,0.09,0.09,0.648
2024,TTT,M3,Low,3.85,2.45,21.112
2024,TNN,M3,Low,167.76,164.96,1855.907
2024,TPE,M3,Low,1.66,1.66,10.885
2024,TXG,M3,Low,33.15,32.21,549.756
2024,PEN,M3,Low,,,
2024,TYN,M3,Low,0.05,0.05,0.135
2024,HSQ,M3,Low,4.6,4.6,45.398
2024,HSC,M3,Low,,,
2024,NTP,M3,Low,,,
2024,CHA,M3,Low,61.5,59.78,350.914
2024,PIF,M3,Low,10.18,9.83,101.32
2024,ILA,M3,Low,5.52,5.51,45.066
2024,KEE,M3,Low,0.02,0.02,0.136
2024,CYQ,M3,Low,4.59,4.59,47.934
2024,CYI,M3,Low,0.1,0.1,0.6
2024,NTO,M3,Low,22.4,22,216
2024,KHH,C1,Low,1.02,1.02,9.52
2024,YUN,C1,Low,422.48,421.6,7423.254
2024,KIN,C1,Low,,,
2024,LIE,C1,Low,,,
2024,MLI,C1,Low,381.67,381.67,6068.431
2024,HUA,C1,Low,8.95,8.95,91.552
2024,TTT,C1,Low,18.89,18.59,175.013
2024,TNN,C1,Low,893.12,892.77,24918.64
2024,TPE,C1,Low,6.64,6.64,46.763
2024,TXG,C1,Low,1387.28,1363.59,24992.403
2024,PEN,C1,Low,,,
2024,TYN,C1,Low,1.38,1.03,16.561
2024,HSQ,C1,Low,212.91,212.91,3366.915
2024,HSC,C1,Low,,,
2024,NTP,C1,Low,1.3,1.1,7.538
2024,CHA,C1,Low,5.35,5.35,91.978
2024,PIF,C1,Low,,,
2024,ILA,C1,Low,5.25,4.55,66.553
2024,KEE,C1,Low,,,
2024,CYQ,C1,Low,1490.36,1484.51,24596.533
2024,CYI,C1,Low,0.7,0.7,14.79
2024,NTO,C1,Low,36.8,36.3,494.525
2024,KHH,22,Low,718.08,715.8,12978.585
2024,YUN,22,Low,17.43,17.43,227.281
2024,KIN,22,Low,0.02,0.02,0.15
2024,LIE,22,Low,,,
2024,MLI,22,Low,97.82,97.82,754.979
2024,HUA,22,Low,,,
2024,TTT,22,Low,2.51,2.51,24.535
2024,TNN,22,Low,268.95,268.6,4403.459
2024,TPE,22,Low,,,
2024,TXG,22,Low,10.42,10.42,136.47
2024,PEN,22,Low,,,
2024,TYN,22,Low,0.61,0.23,0.866
2024,HSQ,22,Low,0.47,0.47,2.35
2024,HSC,22,Low,,,
2024,NTP,22,Low,0.03,,
2024,CHA,22,Low,5.9,5.2,54.733
2024,PIF,22,Low,528.15,515.6,9373.39
2024,ILA,22,Low,0.05,,
2024,KEE,22,Low,,,
2024,CYQ,22,Low,63.32,63.32,591.495
2024,CYI,22,Low,0.2,0.2,2.32
2024,NTO,22,Low,28.91,25.5,298.388
2024,KHH,O10,High,16.54,15.54,123.064
2024,YUN,O10,High,1.19,1.09,13.329
2024,KIN,O10,High,,,
2024,LIE,O10,High,,,
2024,MLI,O10,High,1194.82,1194.82,26636.968
2024,HUA,O10,High,10.69,10.69,73.94
2024,TTT,O10,High,10.29,10.21,68.066
2024,TNN,O10,High,2.78,2.77,26.918
2024,TPE,O10,High,0.25,0.25,1.62
2024,TXG,O10,High,3304.33,3303.34,52922.932
2024,PEN,O10,High,,,
2024,TYN,O10,High,10.43,8.93,55.271
2024,HSQ,O10,High,119.53,119.53,1796.317
2024,HSC,O10,High,,,
2024,NTP,O10,High,12.12,9.83,72.277
2024,CHA,O10,High,28.5,28.5,255.835
2024,PIF,O10,High,2.49,2.49,23.738
2024,ILA,O10,High,54.12,51.28,736.797
2024,KEE,O10,High,,,
2024,CYQ,O10,High,78.08,77.28,1575.313
2024,CYI,O10,High,,,
2024,NTO,O10,High,10,9.9,98.91
2024,KHH,41,High,1390.02,1390.02,5838.984
2024,YUN,41,High,22,22,97.24
2024,KIN,41,High,,,
2024,LIE,41,High,,,
2024,MLI,41,High,26.63,26.63,187.34
2024,HUA,41,High,57.79,57.39,148.316
2024,TTT,41,High,420.99,416.54,1018.899
2024,TNN,41,High,313.75,313.65,1419.81
2024,TPE,41,High,0.3,0.3,0.938
2024,TXG,41,High,103.16,102.66,603.722
2024,PEN,41,High,,,
2024,TYN,41,High,1.29,1.16,5.046
2024,HSQ,41,High,1.85,1.85,9.375
2024,HSC,41,High,,,
2024,NTP,41,High,0.42,0.39,1.261
2024,CHA,41,High,1.03,1.03,4.752
2024,PIF,41,High,1,1,6.22
2024,ILA,41,High,0.2,,
2024,KEE,41,High,,,
2024,CYQ,41,High,57.17,57.17,348.705
2024,CYI,41,High,,,
2024,NTO,41,High,851.66,827.06,3670.66
2024,KHH,D1,Low,0.41,0.41,3.423
2024,YUN,D1,Low,0.48,0.48,7.67
2024,KIN,D1,Low,,,
2024,LIE,D1,Low,,,
2024,MLI,D1,Low,727.06,722.36,11800.719
2024,HUA,D1,Low,17.15,17.15,159.382
2024,TTT,D1,Low,159.14,159.14,2125.918
2024,TNN,D1,Low,4.07,4.07,58.299
2024,TPE,D1,Low,27.36,27.36,227.514
2024,TXG,D1,Low,528.36,514.59,10517.006
2024,PEN,D1,Low,,,
2024,TYN,D1,Low,48.64,47,806.91
2024,HSQ,D1,Low,1250.39,1250.39,19334.371
2024,HSC,D1,Low,2.21,2.21,37.899
2024,NTP,D1,Low,63.26,60.55,680.646
2024,CHA,D1,Low,1.49,1.49,17.049
2024,PIF,D1,Low,,,
2024,ILA,D1,Low,90,86.22,1103.859
2024,KEE,D1,Low,,,
2024,CYQ,D1,Low,5.45,5.45,83.988
2024,CYI,D1,Low,,,
2024,NTO,D1,Low,7.35,7.35,86.094
2024,KHH,Y1,High,63.59,63,283.333
2024,YUN,Y1,High,6.89,6.68,40.703
2024,KIN,Y1,High,,,
2024,LIE,Y1,High,,,
2024,MLI,Y1,High,99.71,99.71,793.467
2024,HUA,Y1,High,13.01,12.81,80.069
2024,TTT,Y1,High,29.16,28.72,130.156
2024,TNN,Y1,High,4.24,3.02,27.179
2024,TPE,Y1,High,,,
2024,TXG,Y1,High,1215.21,1197.77,10684.874
2024,PEN,Y1,High,,,
2024,TYN,Y1,High,228.47,227.41,1746.124
